STD_DT,NUM,MELT_TEMP,MOTORSPEED,MELT_WEIGHT,INSP,TAG
2020-04-02 2:11,418918,406,0,1032,3.19,NG
2020-03-28 7:50,350307,484,137,691,3.19,NG
2020-04-13 8:48,581287,492,158,351,3.19,OK
2020-03-10 8:49,91691,446,74,535,3.19,OK
2020-03-11 10:51,107316,372,189,306,3.19,OK
2020-03-09 0:15,72155,745,1753,203,3.21,OK
2020-03-07 23:57,57577,482,182,151,3.19,OK
2020-04-30 15:20,830005,781,1738,593,3.21,OK
2020-03-15 13:07,166276,402,219,337,3.18,OK
2020-04-18 8:47,653270,468,124,470,3.2,OK
2020-03-29 9:56,365969,467,141,6655,3.19,NG
2020-04-02 0:57,418178,434,92,110,3.19,NG
2020-04-29 9:39,812193,380,195,370,3.18,OK
2020-03-09 12:09,79298,410,59,256,3.19,OK
2020-04-25 18:05,759657,515,168,200,3.19,OK
2020-03-06 23:37,42974,748,1748,140,3.22,OK
2020-04-28 5:38,795382,496,159,325,3.2,OK
2020-04-27 10:47,784072,437,196,462,3.19,OK
2020-04-20 15:47,686279,486,104,690,3.2,OK
2020-04-07 22:32,503129,490,105,5,3.2,OK
2020-03-27 18:41,342411,440,84,662,3.19,NG
2020-03-26 22:31,330317,501,207,377,3.2,NG
2020-03-25 22:44,316048,419,74,42,3.18,NG
2020-04-06 14:08,483688,456,70,89,3.18,NG
2020-03-19 23:33,230137,502,166,697,3.19,OK
2020-04-16 2:46,620862,495,166,152,3.19,OK
2020-04-22 8:45,710859,485,137,525,3.19,OK
2020-03-18 22:18,214980,499,138,332,3.19,OK
2020-04-22 15:41,715017,427,178,593,3.18,OK
2020-03-17 12:43,194837,479,162,533,3.19,OK
2020-03-17 10:16,193366,357,203,544,3.18,NG
2020-04-11 20:15,559358,427,64,38,3.19,NG
2020-04-08 7:05,508257,471,175,76,3.19,OK
2020-03-05 18:04,25245,742,1748,476,3.21,OK
2020-03-09 19:52,83923,382,204,143,3.19,OK
2020-04-05 13:48,469080,470,115,137,3.2,OK
2020-04-17 21:35,646550,495,141,528,3.19,OK
2020-04-06 10:10,481302,479,182,561,3.2,OK
2020-03-04 14:20,8602,453,176,96,3.19,OK
2020-04-30 18:01,831613,399,213,347,3.19,OK
2020-03-26 23:19,330793,381,201,552,3.18,NG
2020-03-26 8:40,322007,488,157,291,3.19,NG
2020-04-02 4:07,420078,443,76,1646,3.19,NG
2020-04-06 7:34,479742,459,160,594,3.19,NG
2020-03-31 4:14,391348,455,64,651,3.19,NG
2020-03-20 14:49,239291,434,64,471,3.19,NG
2020-04-21 2:59,692999,505,141,479,3.19,OK
2020-03-25 9:28,308089,492,146,139,3.19,OK
2020-04-17 23:23,647633,378,181,629,3.19,OK
2020-04-28 10:15,798158,445,0,430,3.19,OK
2020-03-27 5:25,334458,406,79,260,3.19,NG
2020-04-09 14:54,527341,464,68,401,3.19,NG
2020-03-17 4:31,189916,398,238,155,3.19,NG
2020-03-22 12:32,266728,444,79,1052,3.2,NG
2020-04-30 8:20,825804,761,1726,112,3.22,OK
2020-04-07 11:28,496487,517,179,646,3.19,OK
2020-03-12 9:08,120685,752,1722,252,3.21,OK
2020-03-08 13:05,65457,512,177,137,3.2,OK
2020-03-11 1:49,101895,718,1716,360,3.21,OK
2020-04-19 15:12,671521,448,0,711,3.19,OK
2020-03-21 20:26,257066,389,226,603,3.19,NG
2020-03-26 0:39,317199,505,119,373,3.19,NG
2020-04-30 17:24,831241,449,56,448,3.19,OK
2020-04-27 16:39,787595,767,1737,490,3.22,OK
2020-04-27 11:12,784325,769,1733,322,3.22,OK
2020-04-13 11:21,582810,485,148,501,3.19,OK
2020-03-13 7:43,134233,394,188,272,3.19,OK
2020-04-23 6:02,723629,465,122,652,3.2,OK
2020-04-20 7:21,681214,785,1731,689,3.22,OK
2020-04-14 23:38,604582,465,151,524,3.19,OK
2020-04-12 23:16,575568,443,0,327,3.19,NG
2020-03-25 22:11,315713,366,184,564,3.19,NG
2020-03-27 0:15,331357,490,164,586,3.19,NG
2020-03-30 7:54,379142,479,146,622,3.19,NG
2020-04-13 19:40,587807,456,182,122,3.2,NG
2020-03-28 7:47,350271,448,67,7311,3.19,NG
2020-03-05 16:53,24531,421,55,73,3.19,OK
2020-03-11 4:04,103243,367,205,613,3.19,OK
2020-03-17 9:20,192809,490,125,532,3.2,OK
2020-04-11 8:54,552544,739,1706,396,3.22,OK
2020-04-04 3:43,448631,450,83,34,3.19,NG
2020-03-31 1:54,389948,415,73,657,3.19,NG
2020-03-28 3:15,347551,465,55,527,3.19,NG
2020-04-05 0:26,461062,444,154,663,3.19,NG
2020-03-12 22:41,128813,395,216,62,3.19,OK
2020-04-01 6:59,407394,744,1752,438,3.21,OK
2020-03-06 2:14,30141,441,60,231,3.19,OK
2020-03-14 22:57,157777,482,154,589,3.2,OK
2020-03-06 11:53,35933,372,185,355,3.18,OK
2020-04-14 1:39,591393,379,214,321,3.18,OK
2020-03-27 11:35,338158,432,0,421,3.18,NG
2020-03-22 4:08,261683,419,216,602,3.18,NG
2020-04-04 7:51,451116,377,216,662,3.19,NG
2020-03-30 22:42,388028,409,72,596,3.19,NG
2020-04-09 20:54,530948,438,74,1694,3.19,NG
2020-04-03 4:19,434593,391,225,36,3.18,NG
2020-03-24 18:54,299341,453,69,657,3.19,NG
2020-03-30 17:06,384668,415,58,687,3.19,NG
2020-03-18 13:18,209584,745,1715,240,3.22,OK
2020-03-18 17:57,212371,439,88,637,3.19,OK
